Product Name,Technology,2G bands,Untitled,3G bands,Untitled,4G bands,Untitled,Untitled,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Untitled,Type,Size,Resolution,Protection,Untitled,OS,Chipset,CPU,GPU,Card slot,Internal,Triple,Features,Video,Dual,Features,Video,Loudspeaker,3.5mm jack,Untitled,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Untitled,Untitled,Charging,Talk time,Music play,Colors,Models,SAR,SAR EU,Price,Performance,Display,Camera,Loudspeaker,Audio quality,Battery life
Nokia 2330 classic,GSM,GSM 900 / 1800,"Standard battery, Li-Ion 860 mAh (BL-5CA)",,"Standard battery, Li-Ion 860 mAh (BL-5CA)",,"Standard battery, Li-Ion 860 mAh (BL-5CA)","Standard battery, Li-Ion 860 mAh (BL-5CA)",,"2008, November. Released 2009, June",Discontinued,"107 x 46 x 13.8 mm, 57 cc (4.21 x 1.81 x 0.54 in)",80 g (2.82 oz),,Mini-SIM,"Standard battery, Li-Ion 860 mAh (BL-5CA)","TFT, 65K colors","1.8 inches, 10.2 cm",128 x 160 pixels (~114 ppi density),,"Standard battery, Li-Ion 860 mAh (BL-5CA)",,,,,No,10MB,,,SQCIF@6fps,,,SQCIF@6fps,Yes,No,"Standard battery, Li-Ion 860 mAh (BL-5CA)",No,2.0,No,,"Stereo FM radio, recording",No,_,"Standard battery, Li-Ion 860 mAh (BL-5CA)","Standard battery, Li-Ion 860 mAh (BL-5CA)",,_,,"Black, Deep red",,1.42 W/kg (head)     0.89 W/kg (body),0.99 W/kg (head),About 50 EUR,,,,Yes,,
Nokia 2323 classic,GSM,GSM 900 / 1800,"Standard battery, Li-Ion 860 mAh (BL-5CA)",,"Standard battery, Li-Ion 860 mAh (BL-5CA)",,"Standard battery, Li-Ion 860 mAh (BL-5CA)","Standard battery, Li-Ion 860 mAh (BL-5CA)",,"2008, November. Released 2009, August",Discontinued,"107 x 46 x 13.8 mm, 57 cc (4.21 x 1.81 x 0.54 in)",78 g (2.75 oz),,Mini-SIM,"Standard battery, Li-Ion 860 mAh (BL-5CA)","TFT, 65K colors","1.8 inches, 10.2 cm",128 x 160 pixels (~114 ppi density),,"Standard battery, Li-Ion 860 mAh (BL-5CA)",,,,,No,4MB,,,,,,,Yes,No,"Standard battery, Li-Ion 860 mAh (BL-5CA)",No,2.0,No,,Stereo FM radio,No,_,"Standard battery, Li-Ion 860 mAh (BL-5CA)","Standard battery, Li-Ion 860 mAh (BL-5CA)",,_,,Black,,,0.94 W/kg (head),About 40 EUR,,,,Yes,,
Nokia 1662,GSM,GSM 900 / 1800,Removable Li-Ion 860 mAh battery (BL-4C),,Removable Li-Ion 860 mAh battery (BL-4C),,Removable Li-Ion 860 mAh battery (BL-4C),Removable Li-Ion 860 mAh battery (BL-4C),,"2008, November. Released 2009, Q2",Discontinued,"108 x 45 x 13.8 mm, 58.8 cc (4.25 x 1.77 x 0.54 in)",82 g (2.89 oz),,Mini-SIM,Removable Li-Ion 860 mAh battery (BL-4C),"TFT, 65K colors","1.8 inches, 10.2 cm",128 x 160 pixels (~114 ppi density),,Removable Li-Ion 860 mAh battery (BL-4C),,,,,No,,,,,,,,Yes,No,Removable Li-Ion 860 mAh battery (BL-4C),No,No,No,,FM radio,No,_,Removable Li-Ion 860 mAh battery (BL-4C),Removable Li-Ion 860 mAh battery (BL-4C),,Up to 4 h 10 min,,"Black, Blue",,,1.38 W/kg (head),About 30 EUR,,,,Yes,,
Nokia 1661,GSM,GSM 900 / 1800,Removable Li-Ion 860 mAh battery (BL-4C),,Removable Li-Ion 860 mAh battery (BL-4C),,Removable Li-Ion 860 mAh battery (BL-4C),Removable Li-Ion 860 mAh battery (BL-4C),,"2008, November. Released 2009, Q2",Discontinued,"108 x 45 x 13.8 mm, 65.9 cc (4.25 x 1.77 x 0.54 in)",82 g (2.89 oz),,Mini-SIM,Removable Li-Ion 860 mAh battery (BL-4C),"TFT, 65K colors","1.8 inches, 10.2 cm",128 x 160 pixels (~114 ppi density),,Removable Li-Ion 860 mAh battery (BL-4C),,,,,No,8MB,,,,,,,Yes,No,Removable Li-Ion 860 mAh battery (BL-4C),No,No,No,,FM radio,No,_,Removable Li-Ion 860 mAh battery (BL-4C),Removable Li-Ion 860 mAh battery (BL-4C),,Up to 4 h 10 min,,"Black, Grey",,1.31 W/kg (head)     0.60 W/kg (body),0.91 W/kg (head),About 30 EUR,,,,Yes,,
Nokia 1202,GSM,GSM 900 / 1800,Removable Li-Ion 720 mAh battery (BL-4C),,Removable Li-Ion 720 mAh battery (BL-4C),,Removable Li-Ion 720 mAh battery (BL-4C),Removable Li-Ion 720 mAh battery (BL-4C),,"2008, November. Released 2009, April",Discontinued,"105.3 x 45 x 13.1 mm, 61.8 cc (4.15 x 1.77 x 0.52 in)",78 g (2.75 oz),,Mini-SIM,Removable Li-Ion 720 mAh battery (BL-4C),Monochrome graphic,"1.3 inches, 5.1 cm",96 x 68 pixels (~90 ppi density),,Removable Li-Ion 720 mAh battery (BL-4C),,,,,No,,,,,,,,Yes,No,Removable Li-Ion 720 mAh battery (BL-4C),No,No,No,,No,No,_,Removable Li-Ion 720 mAh battery (BL-4C),Removable Li-Ion 720 mAh battery (BL-4C),,Up to 8 h,,"Midnight black, Violet blue, Silver grey (Nokia 1203)",,0.76 W/kg (head),1.10 W/kg (head)     0.38 W/kg (body),About 20 EUR,,,,Yes,,
Nokia 5800 XpressMusic,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Removable Li-Ion 1320 mAh battery (BL-5J),HSDPA 900 / 2100,Removable Li-Ion 1320 mAh battery (BL-5J),,Removable Li-Ion 1320 mAh battery (BL-5J),Removable Li-Ion 1320 mAh battery (BL-5J),HSPA 3.6/0.384 Mbps,"2008, October. Released 2008, November",Discontinued,"111 x 51.7 x 15.5 mm, 83 cc (4.37 x 2.04 x 0.61 in)",109 g (3.84 oz),,Mini-SIM,Removable Li-Ion 1320 mAh battery (BL-5J),"TFT resistive touchscreen, 16M colors","3.2 inches, 28.2 cm","360 x 640 pixels, 16:9 ratio (~229 ppi density)",,Removable Li-Ion 1320 mAh battery (BL-5J),"Symbian 9.4, Series 60 rel. 5",,434 MHz ARM 11,,"microSD, up to 16 GB (dedicated slot), 8 GB included",81MB 128MB RAM,,"Carl Zeiss optics, dual-LED flash",_,,"Carl Zeiss optics, dual-LED flash",_,Voice 75dB / Noise 66dB / Ring 68dB,Yes,Removable Li-Ion 1320 mAh battery (BL-5J),"Wi-Fi 802.11 b/g, UPnP technology","2.0, A2DP","Yes, with A-GPS; Nokia Maps 2.0 Touch",,"Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 1320 mAh battery (BL-5J),Removable Li-Ion 1320 mAh battery (BL-5J),,Up to 8 h 45 min (2G) / Up to 5 h (3G),Up to 35 h,"Black, Red, Blue",,1.11 W/kg (head)     0.90 W/kg (body),0.97 W/kg (head),About 130 EUR,,,,Voice 75dB / Noise 66dB / Ring 68dB,Noise -92.2dB / Crosstalk -75.0dB,
Nokia N85,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Removable Li-Ion 1200 mAh battery (BL-5K),HSDPA 900 / 1900 / 2100,Removable Li-Ion 1200 mAh battery (BL-5K),,Removable Li-Ion 1200 mAh battery (BL-5K),Removable Li-Ion 1200 mAh battery (BL-5K),HSPA 3.6/0.384 Mbps,"2008, August. Released 2008, October",Discontinued,"103 x 50 x 16 mm, 76 cc (4.06 x 1.97 x 0.63 in)",128 g (4.52 oz),,Mini-SIM,Removable Li-Ion 1200 mAh battery (BL-5K),"AMOLED, 16M colors","2.6 inches, 20.9 cm","240 x 320 pixels, 4:3 ratio (~154 ppi density)",,Removable Li-Ion 1200 mAh battery (BL-5K),"Symbian OS 9.3, S60 rel. 3.2",,369 MHz ARM 11,,"microSD, up to 8 GB (dedicated slot), 8 GB included",74MB,,"Carl Zeiss optics, LED flash",_,,"Carl Zeiss optics, LED flash",_,Voice 67dB / Noise 65dB / Ring 71dB,Yes,Removable Li-Ion 1200 mAh battery (BL-5K),"Wi-Fi 802.11 b/g, UPnP & DLNA technology","2.0, A2DP","Yes, with A-GPS; Nokia Maps 2.0",,"Stereo FM radio, RDS; FM transmitter",microUSB 2.0,Accelerometer,Removable Li-Ion 1200 mAh battery (BL-5K),Removable Li-Ion 1200 mAh battery (BL-5K),,Up to 6 h 50 min (2G) / Up to 4 h 30 min (3G),,"Copper, Black",,1.03 W/kg (head)     0.79 W/kg (body),0.81 W/kg (head),About 250 EUR,,,,Voice 67dB / Noise 65dB / Ring 71dB,Noise -94.4dB / Crosstalk -88.1dB,
Nokia N79,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Removable Li-Ion 1200 mAh battery (BL-6F),HSDPA 900 / 2100,Removable Li-Ion 1200 mAh battery (BL-6F),,Removable Li-Ion 1200 mAh battery (BL-6F),Removable Li-Ion 1200 mAh battery (BL-6F),HSPA 3.6/0.384 Mbps,"2008, August. Released 2008, October",Discontinued,"110 x 49 x 15 mm, 74 cc (4.33 x 1.93 x 0.59 in)",97 g (3.42 oz),,Mini-SIM,Removable Li-Ion 1200 mAh battery (BL-6F),"TFT, 16M colors","2.4 inches, 17.8 cm","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,Removable Li-Ion 1200 mAh battery (BL-6F),"Symbian OS 9.3, Series 60 v3.2 UI",,369 MHz ARM 11,,"microSD, up to 8 GB (dedicated slot), 4 GB included",50MB,,"Carl Zeiss optics, LED flash",_,,"Carl Zeiss optics, LED flash",_,Voice 66dB / Noise 65dB / Ring 71dB,Yes,Removable Li-Ion 1200 mAh battery (BL-6F),"Wi-Fi 802.11 b/g, UPnP & DLNA technology","2.0, A2DP","Yes, with A-GPS; Nokia Maps",,"Stereo FM radio, RDS; FM transmitter",microUSB 2.0,Accelerometer,Removable Li-Ion 1200 mAh battery (BL-6F),Removable Li-Ion 1200 mAh battery (BL-6F),,Up to 5 h 30 min (2G) / Up to 3 h 30 min (3G),,"Canvas white, Seal grey, Petrol black",,1.42 W/kg (head)     1.10 W/kg (body),1.17 W/kg (head),About 180 EUR,,,,Voice 66dB / Noise 65dB / Ring 71dB,Noise -91.8dB / Crosstalk -73.5dB,
Nokia 8800 Carbon Arte,GSM / UMTS,GSM 900 / 1800 / 1900,Removable Li-Ion 1000 mAh battery (BL-4U),UMTS 2100,Removable Li-Ion 1000 mAh battery (BL-4U),,Removable Li-Ion 1000 mAh battery (BL-4U),Removable Li-Ion 1000 mAh battery (BL-4U),"Yes, 384 kbps","2008, August. Released 2008, September",Discontinued,"109 x 45.6 x 14.6 mm, 65 cc (4.29 x 1.80 x 0.57 in)",150 g (5.29 oz),,Mini-SIM,Removable Li-Ion 1000 mAh battery (BL-4U),"OLED, 16M colors","2.0 inches, 12.4 cm","240 x 320 pixels, 4:3 ratio (~200 ppi density)",Scratch-resistant glass,Removable Li-Ion 1000 mAh battery (BL-4U),,,,,No,4GB,,,480p@15fps,,,480p@15fps,Voice 66dB / Noise 66dB / Ring 66dB,No,Removable Li-Ion 1000 mAh battery (BL-4U),No,"2.0, A2DP",No,,No,microUSB 2.0,Accelerometer,Removable Li-Ion 1000 mAh battery (BL-4U),Removable Li-Ion 1000 mAh battery (BL-4U),,Up to 3 h (2G) / Up to 2 h 45 min (3G),,Black,,,,About 840 EUR,,,,Voice 66dB / Noise 66dB / Ring 66dB,,
Nokia 3610 fold,GSM,GSM 850 / 900 / 1800 / 1900,Removable Li-Ion 1020 mAh battery (BL-5C),,Removable Li-Ion 1020 mAh battery (BL-5C),,Removable Li-Ion 1020 mAh battery (BL-5C),Removable Li-Ion 1020 mAh battery (BL-5C),,"2008, August. Released 2008, November",Discontinued,"99.6 x 44.3 x 19.6 mm, 67 cc (3.92 x 1.74 x 0.77 in)",97 g (3.42 oz),,Mini-SIM,Removable Li-Ion 1020 mAh battery (BL-5C),"TFT, 256K colors","2.0 inches, 12.4 cm","240 x 320 pixels, 4:3 ratio (~200 ppi density)",,Removable Li-Ion 1020 mAh battery (BL-5C),,,,,"microSD, up to 4 GB (dedicated slot)",30MB,,,QCIF,,,QCIF,Yes,No,Removable Li-Ion 1020 mAh battery (BL-5C),No,"2.0, A2DP",No,,No,microUSB 2.0,_,Removable Li-Ion 1020 mAh battery (BL-5C),Removable Li-Ion 1020 mAh battery (BL-5C),,Up to 4 h 38 min,,"Blue, Red, Green, Rose",,0.83 W/kg (head)     0.83 W/kg (body),0.95 W/kg (head),About 100 EUR,,,,Yes,,
Nokia 7610 Supernova,GSM,GSM 850 / 900 / 1800 / 1900,Removable Li-Ion 860 mAh battery (BL-4S),,Removable Li-Ion 860 mAh battery (BL-4S),,Removable Li-Ion 860 mAh battery (BL-4S),Removable Li-Ion 860 mAh battery (BL-4S),,"2008, June. Released 2008, August",Discontinued,"98 x 48 x 15 mm, 63 cc (3.86 x 1.89 x 0.59 in)",99 g (3.49 oz),,Mini-SIM,Removable Li-Ion 860 mAh battery (BL-4S),"TFT, 16M colors","2.0 inches, 12.4 cm","240 x 320 pixels, 4:3 ratio (~200 ppi density)",,Removable Li-Ion 860 mAh battery (BL-4S),,,,,"microSD, up to 2 GB (dedicated slot), 512 MB/ 2 GB included",64MB,,Dual-LED,480p@15fps,,Dual-LED,480p@15fps,Yes,No,Removable Li-Ion 860 mAh battery (BL-4S),No,"2.0, A2DP",No,,"Stereo FM radio, RDS",microUSB 2.0,_,Removable Li-Ion 860 mAh battery (BL-4S),Removable Li-Ion 860 mAh battery (BL-4S),,Up to 6 h 40 min,,"Muted Gray, Steel Blue, Red, Bright Lilac, Pristine White, Graphite, Passionate Purple",,0.81 W/kg (head)     0.65 W/kg (body),0.66 W/kg (head),About 100 EUR,,,,Yes,,
Nokia 7510 Supernova,GSM,GSM 850 / 900 / 1800 / 1900,Removable Li-Ion 870 mAh battery (BL-5BT),,Removable Li-Ion 870 mAh battery (BL-5BT),,Removable Li-Ion 870 mAh battery (BL-5BT),Removable Li-Ion 870 mAh battery (BL-5BT),,"2008, June. Released 2009, January",Discontinued,"92.5 x 46.4 x 16.7 mm, 63 cc (3.64 x 1.83 x 0.66 in)",124 g (4.37 oz),,Mini-SIM,Removable Li-Ion 870 mAh battery (BL-5BT),"TFT, 16M colors","2.2 inches, 15.0 cm","240 x 320 pixels, 4:3 ratio (~182 ppi density)",,Removable Li-Ion 870 mAh battery (BL-5BT),,,,,"microSD, up to 8 GB (dedicated slot), 512 MB included",20MB,,LED flash,QCIF@15fps,,LED flash,QCIF@15fps,Yes,No,Removable Li-Ion 870 mAh battery (BL-5BT),No,"2.1, A2DP",No,,"Stereo FM radio, RDS",microUSB 2.0,_,Removable Li-Ion 870 mAh battery (BL-5BT),Removable Li-Ion 870 mAh battery (BL-5BT),,Up to 6 h,,"Storm Blue, Red, Emerald Green, Espresso Brown, Graphite, Passionate Purple",,0.84 W/kg (head)     0.25 W/kg (body),0.52 W/kg (head),About 130 EUR,,,,Yes,,
Nokia 7310 Supernova,GSM,GSM 900 / 1800 / 1900,Removable Li-Ion 860 mAh battery (BL-4CT),,Removable Li-Ion 860 mAh battery (BL-4CT),,Removable Li-Ion 860 mAh battery (BL-4CT),Removable Li-Ion 860 mAh battery (BL-4CT),,"2008, June. Released 2008, June",Discontinued,"106.5 x 45.4 x 12 mm, 58 cc (4.19 x 1.79 x 0.47 in)",83 g (2.93 oz),,Mini-SIM,Removable Li-Ion 860 mAh battery (BL-4CT),"TFT, 16M colors","2.0 inches, 12.4 cm","240 x 320 pixels, 4:3 ratio (~200 ppi density)",,Removable Li-Ion 860 mAh battery (BL-4CT),,,,,"microSD, up to 4 GB (dedicated slot)",32MB,,,QCIF@15fps,,,QCIF@15fps,Yes,No,Removable Li-Ion 860 mAh battery (BL-4CT),No,"2.0, A2DP",No,,"Stereo FM radio, RDS",microUSB 2.0,_,Removable Li-Ion 860 mAh battery (BL-4CT),Removable Li-Ion 860 mAh battery (BL-4CT),,Up to 4 h,,"Steel Blue, Wasabi Green, Candy Pink, Mushroom Silver, Plum Jam, Electric Blue, Yellow Mellow, Graph",,0.63 W/kg (head)     0.59 W/kg (body),0.96 W/kg (head),About 110 EUR,,,,Yes,,
Nokia 7210 Supernova,GSM,GSM 900 / 1800 / 1900,Removable Li-Ion 860 mAh battery (BL-4CT),,Removable Li-Ion 860 mAh battery (BL-4CT),,Removable Li-Ion 860 mAh battery (BL-4CT),Removable Li-Ion 860 mAh battery (BL-4CT),,"2008, June. Released 2008, September",Discontinued,106 x 45 x 10.6 mm (4.17 x 1.77 x 0.42 in),69.8 g (2.43 oz),,Mini-SIM,Removable Li-Ion 860 mAh battery (BL-4CT),"TFT, 256K colors","2.0 inches, 12.4 cm","240 x 320 pixels, 4:3 ratio (~200 ppi density)",,Removable Li-Ion 860 mAh battery (BL-4CT),,,,,"microSD, up to 2 GB (dedicated slot)",30MB,,,QCIF@15fps,,,QCIF@15fps,Yes,No,Removable Li-Ion 860 mAh battery (BL-4CT),No,"2.0, A2DP",No,,"Stereo FM radio, RDS",microUSB 2.0,_,Removable Li-Ion 860 mAh battery (BL-4CT),Removable Li-Ion 860 mAh battery (BL-4CT),,Up to 5 h 40 min,,"Bubble Gum Pink, Vivid Blue, Graphite, Passionate Purple",,1.29 W/kg (head)     0.87 W/kg (body),1.00 W/kg (head),About 90 EUR,,,,Yes,,
Nokia E71,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Removable Li-Po 1500 mAh battery (BP-4L),HSDPA 900 / 2100,Removable Li-Po 1500 mAh battery (BP-4L),,Removable Li-Po 1500 mAh battery (BP-4L),Removable Li-Po 1500 mAh battery (BP-4L),HSPA 3.6/0.384 Mbps,"2008, June. Released 2008, July",Discontinued,"114 x 57 x 10 mm, 66 cc (4.49 x 2.24 x 0.39 in)",127 g (4.48 oz),,Mini-SIM,Removable Li-Po 1500 mAh battery (BP-4L),"TFT, 16M colors","2.36 inches, 17.2 cm","320 x 240 pixels, 4:3 ratio (~169 ppi density)",,Removable Li-Po 1500 mAh battery (BP-4L),"Symbian OS 9.2, Series 60 v3.1 UI",,369 MHz ARM 11,,"microSD, up to 8 GB (dedicated slot)",110MB 128MB RAM,,LED flash,_,,LED flash,_,Voice 68dB / Noise 66dB / Ring 76dB,No,Removable Li-Po 1500 mAh battery (BP-4L),Wi-Fi 802.11 b/g,"2.0, A2DP","Yes, with A-GPS; Nokia Maps",,FM radio (E71 only),microUSB 2.0,_,Removable Li-Po 1500 mAh battery (BP-4L),Removable Li-Po 1500 mAh battery (BP-4L),,Up to 10 h 30 min (2G) / 4 h 30 min (3G),Up to 18 h,"White Steel, Grey Steel, Black, Red",,1.09 W/kg (head)     0.48 W/kg (body),1.27 W/kg (head),About 110 EUR,,,,Voice 68dB / Noise 66dB / Ring 76dB,Noise -74.5dB / Crosstalk -75.8dB,
Nokia E66,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Removable Li-Ion 1000 mAh battery (BL-4U),HSDPA 900 / 2100,Removable Li-Ion 1000 mAh battery (BL-4U),,Removable Li-Ion 1000 mAh battery (BL-4U),Removable Li-Ion 1000 mAh battery (BL-4U),HSPA 3.6/0.384 Mbps,"2008, June. Released 2008, July",Discontinued,"107.5 x 49.5 x 13.6 mm, 62.6 cc (4.23 x 1.95 x 0.54 in)",121 g (4.27 oz),,Mini-SIM,Removable Li-Ion 1000 mAh battery (BL-4U),"TFT, 16M colors","2.4 inches, 17.8 cm","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,Removable Li-Ion 1000 mAh battery (BL-4U),"Symbian OS 9.2, Series 60 v3.1 UI",,369 MHz ARM 11,,"microSD, up to 8 GB (dedicated slot)",110MB 128MB RAM,,LED flash,_,,LED flash,_,Voice 66dB / Noise 66dB / Ring 66dB,No,Removable Li-Ion 1000 mAh battery (BL-4U),Wi-Fi 802.11 b/g,"2.0, A2DP","Yes, with A-GPS; Nokia Maps",,FM radio,microUSB 2.0,Accelerometer,Removable Li-Ion 1000 mAh battery (BL-4U),Removable Li-Ion 1000 mAh battery (BL-4U),,Up to 7 h 30 m (2G) / 7 h 30 min (3G),,"White Steel, Grey Steel, Black, Red",,1.01 W/kg (head)     0.36 W/kg (body),1.20 W/kg (head),About 180 EUR,,,,Voice 66dB / Noise 66dB / Ring 66dB,Noise -72.3dB / Crosstalk -72.9dB,
Nokia 6600 fold,GSM / UMTS,GSM 850 / 900 / 1800 / 1900,Removable Li-Ion 860 mAh battery (BL-4CT),UMTS 850 / 2100,Removable Li-Ion 860 mAh battery (BL-4CT),,Removable Li-Ion 860 mAh battery (BL-4CT),Removable Li-Ion 860 mAh battery (BL-4CT),"Yes, 384 kbps","2008, April. Released 2008, August",Discontinued,"87.7 x 44 x 15.9 mm, 52 cc (3.45 x 1.73 x 0.63 in)",110 g (3.88 oz),,Mini-SIM,Removable Li-Ion 860 mAh battery (BL-4CT),"OLED, 16M colors","2.13 inches, 14.0 cm","240 x 320 pixels, 4:3 ratio (~188 ppi density)",,Removable Li-Ion 860 mAh battery (BL-4CT),,,,,"microSD, up to 8 GB (dedicated slot)",18MB,,LED flash,_,,LED flash,_,Voice 66dB / Noise 62dB / Ring 64dB,No,Removable Li-Ion 860 mAh battery (BL-4CT),No,"2.0, A2DP",No,,"Stereo FM radio, RDS",microUSB 2.0,_,Removable Li-Ion 860 mAh battery (BL-4CT),Removable Li-Ion 860 mAh battery (BL-4CT),,Up to 4 h (2G) / 4 h (3G),,"Mysterious black, Sophisticated purple",,0.63 W/kg (head)     0.91 W/kg (body),0.61 W/kg (head),About 160 EUR,,,,Voice 66dB / Noise 62dB / Ring 64dB,Noise -82.6dB / Crosstalk -81.2dB,
Nokia 703,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Removable Li-Ion battery,HSDPA 850 / 900 / 1700 / 1900 / 2100,Removable Li-Ion battery,,Removable Li-Ion battery,Removable Li-Ion battery,HSPA,Not officially announced yet,Discontinued,117 x 65 x 12 mm (4.61 x 2.56 x 0.47 in),114 g (4.02 oz),,Mini-SIM,Removable Li-Ion battery,"LED-backlit IPS LCD, capacitive touchscreen, 16M colors","3.7 inches, 39.0 cm","480 x 800 pixels, 5:3 ratio (~252 ppi density)",,Removable Li-Ion battery,Microsoft Windows Phone 7,,1.0 GHz,,No,8GB 512MB RAM,,LED flash,720p@30fps,,LED flash,720p@30fps,Yes,Yes,Removable Li-Ion battery,Wi-Fi 802.11 b/g/n,Yes,"Yes, with A-GPS",,"Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion battery,Removable Li-Ion battery,,,,Black,,,,,,,,Yes,,
Nokia 6600 slide,GSM / UMTS,GSM 850 / 900 / 1800 / 1900,Removable Li-Ion 1000 mAh battery (BL-4U),UMTS 850 / 2100,Removable Li-Ion 1000 mAh battery (BL-4U),,Removable Li-Ion 1000 mAh battery (BL-4U),Removable Li-Ion 1000 mAh battery (BL-4U),"Yes, 384 kbps","2008, April. Released 2008, August",Discontinued,"90 x 45 x 14 mm, 52 cc (3.54 x 1.77 x 0.55 in)",110 g (3.88 oz),,Mini-SIM,Removable Li-Ion 1000 mAh battery (BL-4U),"TFT, 16M colors","2.2 inches, 15.0 cm","240 x 320 pixels, 4:3 ratio (~182 ppi density)",,Removable Li-Ion 1000 mAh battery (BL-4U),,,,,"microSD, up to 4 GB (dedicated slot)",18MB,,LED flash,_,,LED flash,_,Voice 66dB / Noise 64dB / Ring 66dB,No,Removable Li-Ion 1000 mAh battery (BL-4U),No,"2.0, A2DP",No,,"Stereo FM radio, RDS","microUSB 2.0, USB On-The-Go",Accelerometer,Removable Li-Ion 1000 mAh battery (BL-4U),Removable Li-Ion 1000 mAh battery (BL-4U),,Up to 4 h,,Black,,0.51 W/kg (head)     0.47 W/kg (body),0.76 W/kg (head),About 150 EUR,,,,Voice 66dB / Noise 64dB / Ring 66dB,Noise -82.7dB / Crosstalk -81.9dB,
Nokia 3600 slide,GSM,GSM 850 / 900 / 1800 / 1900,Removable Li-Ion 860 mAh battery (BL-4S),,Removable Li-Ion 860 mAh battery (BL-4S),,Removable Li-Ion 860 mAh battery (BL-4S),Removable Li-Ion 860 mAh battery (BL-4S),,"2008, April. Released 2008, August",Discontinued,"97.8 x 47.2 x 14.5 mm, 60 cc (3.85 x 1.86 x 0.57 in)",97.3 g (3.42 oz),,Mini-SIM,Removable Li-Ion 860 mAh battery (BL-4S),"TFT, 16M colors","2.0 inches, 12.4 cm","240 x 320 pixels, 4:3 ratio (~200 ppi density)",,Removable Li-Ion 860 mAh battery (BL-4S),,,,,"microSD, up to 8 GB (dedicated slot), 512 MB included",30MB,,LED flash,480p@15fps,,LED flash,480p@15fps,Voice 67dB / Noise 66dB / Ring 75dB,No,Removable Li-Ion 860 mAh battery (BL-4S),No,"2.0, A2DP",No,,"Stereo FM radio, RDS",microUSB 2.0,_,Removable Li-Ion 860 mAh battery (BL-4S),Removable Li-Ion 860 mAh battery (BL-4S),,Up to 5 h 30 min,,"Charcoal, Wine",,1.01 W/kg (head)     0.78 W/kg (body),0.69 W/kg (head),About 120 EUR,,,,Voice 67dB / Noise 66dB / Ring 75dB,Noise -70.7dB / Crosstalk -71.1dB,
Nokia 5320 XpressMusic,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Removable Li-Ion 890 mAh battery (BL-5B),HSDPA 900 / 2100,Removable Li-Ion 890 mAh battery (BL-5B),,Removable Li-Ion 890 mAh battery (BL-5B),Removable Li-Ion 890 mAh battery (BL-5B),HSPA 3.6/0.384 Mbps,"2008, April. Released 2008, July",Discontinued,"108 x 46 x 15 mm, 67 cc (4.25 x 1.81 x 0.59 in)",90 g (3.17 oz),,Mini-SIM,Removable Li-Ion 890 mAh battery (BL-5B),"TFT, 16M colors","2.0 inches, 12.4 cm","240 x 320 pixels, 4:3 ratio (~200 ppi density)",,Removable Li-Ion 890 mAh battery (BL-5B),"Symbian OS 9.3, S60 rel. 3.2",,369 MHz ARM 11,,"microSD, up to 16 GB (dedicated slot), 512 MB/ 1 GB included",140MB,,LED flash,_,,LED flash,_,Voice 74dB / Noise 66dB / Ring 78dB,Yes,Removable Li-Ion 890 mAh battery (BL-5B),No,"2.0, A2DP",No,,"Stereo FM radio, RDS",microUSB,_,Removable Li-Ion 890 mAh battery (BL-5B),Removable Li-Ion 890 mAh battery (BL-5B),,Up to 3 h 30 min (2G) / 2 h 30 min (3G),,"Blue, Red",,1.21 W/kg (head)     0.86 W/kg (body),1.30 W/kg (head),About 130 EUR,,,,Voice 74dB / Noise 66dB / Ring 78dB,Noise -90.6dB / Crosstalk -73.7dB,
